# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
5.540512634211298693e-01 7.837206620089146725e+01 1.875271438333320617e+01 6.915077858017820489e+00 -9.900328336315329580e+03 -5.574090758002554139e+03 -1.800666487922738725e+03 1.482881190291831501e+02 1.150279462760492788e+04 8.837516869888409587e+01 -4.534120504098585513e+01
5.359190898825656468e-01 7.824967254324913313e+01 1.868015067554556907e+01 7.469225826394056078e+00 -1.043207045995181397e+04 -5.824876309519561801e+03 -1.878696011374498084e+03 1.543832816495522309e+02 1.202842990221452237e+04 8.847063715963147956e+01 -4.534120504098585513e+01
5.639603148290156520e-01 7.831659520361661464e+01 1.875137578819398598e+01 6.708692129216773381e+00 -9.992178657996420952e+03 -5.617395446115357117e+03 -1.814228676229711937e+03 1.493448049461762253e+02 1.159359376148808224e+04 8.855254645987810136e+01 -4.534120504098585513e+01
5.331182093061765936e-01 7.829766115203143784e+01 1.865395310962282238e+01 6.719930964106275439e+00 -1.029475750431170127e+04 -5.760963697045474873e+03 -1.857751657668529333e+03 1.524784158877528171e+02 1.189301767271681820e+04 8.864179614083033698e+01 -4.534120504098585513e+01
5.727883190421843018e-01 7.835858730886909029e+01 1.885695463351741807e+01 6.058850561323040118e+00 -1.004777368532811670e+04 -5.642559086932646096e+03 -1.823295299634299681e+03 1.503870845880506408e+02 1.164815743337025742e+04 8.864769863141329154e+01 -4.534120504098585513e+01
5.446863074682812833e-01 7.838883776329024045e+01 1.872206027976827514e+01 7.516971099907993725e+00 -1.004668648387895701e+04 -5.644131304177859420e+03 -1.821268052747874208e+03 1.495734797656786554e+02 1.164785988882312085e+04 8.880869216985141179e+01 -4.534120504098585513e+01
5.754725171026648933e-01 7.841980948889404601e+01 1.878612396559476494e+01 6.190279856879576492e+00 -9.780157656589983162e+03 -5.516417374557475341e+03 -1.783986759538412116e+03 1.472944766394961675e+02 1.138363485080769169e+04 8.886202611633031268e+01 -4.534120504098585513e+01
5.443826707067722648e-01 7.832971596191222829e+01 1.864591369981330615e+01 6.526992263254802751e+00 -1.026123886835706253e+04 -5.745150070252914702e+03 -1.852838242460774836e+03 1.520948107821161557e+02 1.185988496142276745e+04 8.889104544707174682e+01 -4.534120504098585513e+01
5.482286409011183359e-01 7.836469426064346067e+01 1.880373644582702042e+01 6.839245047532306110e+00 -1.004133754784316625e+04 -5.641309260562406962e+03 -1.820669473555106379e+03 1.496223405192104678e+02 1.164246284673677110e+04 8.898078087974363370e+01 -4.534120504098585513e+01
5.492611244591337760e-01 7.835560631263567188e+01 1.879407496568946101e+01 6.833598145897791909e+00 -1.002195300236799994e+04 -5.631778244789661585e+03 -1.818184533258212923e+03 1.495523596932108887e+02 1.162315056103878123e+04 8.899359758310501434e+01 -4.534120504098585513e+01
5.535228053041064689e-01 7.838147792397091962e+01 1.875781143960444197e+01 6.542533539190674929e+00 -1.016321337346419205e+04 -5.698024286619131090e+03 -1.839272034098336462e+03 1.513137635563371646e+02 1.176265334658368010e+04 8.900632578232642800e+01 -4.534120504098585513e+01
5.758999176951967724e-01 7.838805905834206555e+01 1.879395345165745113e+01 6.684022472149141691e+00 -9.830478460602291307e+03 -5.539939216723440950e+03 -1.791596429579154119e+03 1.479555242966580693e+02 1.143329855108394440e+04 8.910121729322129625e+01 -4.534120504098585513e+01
5.347143606053702536e-01 7.828781728329703071e+01 1.866819336277773900e+01 7.238312757302506562e+00 -1.020715183706110656e+04 -5.720141278481156405e+03 -1.844460976344705387e+03 1.512821795447977991e+02 1.180660562337437841e+04 8.921709523477576909e+01 -4.534120504098585513e+01
5.595287088398672726e-01 7.825744706345946611e+01 1.863539624378860182e+01 6.339561688569899545e+00 -1.023977150585510390e+04 -5.733743797093602552e+03 -1.850914927902699901e+03 1.523475060423082255e+02 1.183818104517407664e+04 8.925968005435844077e+01 -4.534120504098585513e+01
5.584336142818326909e-01 7.839087315269213718e+01 1.884412640127614935e+01 6.808684644418578458e+00 -9.869023519493479398e+03 -5.559605420907422740e+03 -1.795816007901842568e+03 1.478171060211337533e+02 1.147196366965659763e+04 8.926099824162209018e+01 -4.534120504098585513e+01
5.206904290574688732e-01 7.826971584955143157e+01 1.865708408687703823e+01 7.679030039261795615e+00 -1.041204673255517810e+04 -5.817132823938850379e+03 -1.874205268976298839e+03 1.534948160938341175e+02 1.200928123410172338e+04 8.927657944791569378e+01 -4.534120504098585513e+01
5.773344765742530749e-01 7.838241650304190955e+01 1.882741028634312386e+01 5.922466777440465791e+00 -9.907035819627915771e+03 -5.576236149350159394e+03 -1.802704792333264095e+03 1.487603001869673562e+02 1.150905192505548257e+04 8.928530951204717780e+01 -4.534120504098585513e+01
5.676385718898315780e-01 7.832934196380985270e+01 1.874360381942456399e+01 6.296798631536686841e+00 -9.853775432722599362e+03 -5.551490242128627870e+03 -1.794520959594556416e+03 1.480099287530535150e+02 1.145653055028848939e+04 8.930317263826424323e+01 -4.534120504098585513e+01
5.509828459812120549e-01 7.836728922751849780e+01 1.881895873285023058e+01 6.987226616397782308e+00 -9.883369820185467688e+03 -5.566425119873755648e+03 -1.797966278533639525e+03 1.479698268877796181e+02 1.148615423938831736e+04 8.934600391441045986e+01 -4.534120504098585513e+01
5.324803324634169721e-01 7.829265011844849198e+01 1.865693368716446443e+01 7.254867599961555946e+00 -1.020804441059478449e+04 -5.720868636608973247e+03 -1.844292791069131681e+03 1.511730604602790891e+02 1.180760436856865999e+04 8.936958456842729959e+01 -4.534120504098585513e+01
