# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
1.764179153568107949e+01 7.492343364551575746e+01 3.477347327628523033e+01 7.225339706118977290e+01 -9.997456376326661484e+03 -5.659086549547688264e+03 -1.713066731165759847e+03 1.553110407915676205e+02 1.185281830648140203e+04 -6.354697228900930023e+10 -4.534120504098585513e+01
1.830879144668990577e+01 8.559172135416008587e+01 2.921151774189023698e+01 1.107635953498700943e+01 -9.579866446133148202e+03 -5.613938358612257616e+03 -1.876934383945115997e+03 1.874732441949419410e+02 1.134006752871742356e+04 -5.671656978511742401e+10 -4.534120504098585513e+01
1.757503759291710566e+01 8.655000059842214455e+01 1.385394253991084845e+01 6.837497101414599854e+01 -1.066556864524091179e+04 -5.656911597401916879e+03 -1.806591720611022311e+03 1.248946153276359610e+02 1.212021299520855973e+04 -5.382192327000813293e+10 -4.534120504098585513e+01
1.249039965026274146e+01 6.435037081421096161e+01 2.284548745971943973e+01 9.765470627022617123e+01 -1.008970129340018320e+04 -5.729493340206550783e+03 -1.807490408612137571e+03 1.753762684557227658e+02 1.185925845009251680e+04 -4.230617956000249481e+10 -4.534120504098585513e+01
1.690770973092951124e+01 8.177961262335833226e+01 1.975890653251588347e+01 1.719807596250998571e+01 -1.055274039743547473e+04 -5.813738511691807616e+03 -1.791476209645184554e+03 1.291907451435378107e+02 1.198353940556611997e+04 -4.184851153597575378e+10 -4.534120504098585513e+01
1.049055518791132258e+01 7.634679506251173109e+01 2.847760955951210704e+01 6.203965611987322148e+01 -1.018182457266037636e+04 -5.655903553661846672e+03 -1.915433656235727994e+03 1.788693049759784230e+02 1.197112112684666863e+04 -4.098530788391946411e+10 -4.534120504098585513e+01
1.261582592993172369e+01 8.449279389376957283e+01 1.956272689694560540e+01 3.661407189972030096e+01 -9.318064029531966298e+03 -5.532704120990998490e+03 -1.793743892987276467e+03 1.611327437719864690e+02 1.106778919611444508e+04 -4.097169248208979034e+10 -4.534120504098585513e+01
1.733047406029554338e+01 7.044411351401365096e+01 2.257554399396477862e+01 7.916601621970750102e+01 -9.700276264193140378e+03 -5.779499699144710576e+03 -1.844594935279036690e+03 1.781285398966319917e+02 1.100752905648952037e+04 -4.074771946202834320e+10 -4.534120504098585513e+01
1.877426109118852082e+01 8.241341506399763261e+01 2.877393669586003355e+01 2.144821984218361521e+01 -1.017147371984428901e+04 -5.737131288428558037e+03 -1.791677199907781414e+03 1.513793284930782193e+02 1.197751286414145397e+04 -3.893392851333535004e+10 -4.534120504098585513e+01
1.479979830943212527e+01 6.351450620251140577e+01 2.102996838275935332e+01 5.976703064906023855e+01 -1.075397466566940057e+04 -5.574800115412985178e+03 -1.884225396808800042e+03 1.825420435687884435e+02 1.219031880967502548e+04 -3.718850252712100220e+10 -4.534120504098585513e+01
