# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
1.663783255979130971e+01 7.203784315079090561e+01 3.497912561393599873e+01 6.642378195162253007e+01 -1.029087033034193701e+04 -5.531131149305293548e+03 -1.901256151412760119e+03 1.414060039035629757e+02 1.149680004199553878e+04 -1.925636206559410400e+11 -4.534120504098585513e+01
1.060815756868191251e+01 7.827087968472760338e+01 3.897251868619805748e+01 4.208554334939896791e+01 -9.859958838145414120e+03 -5.843606786077481956e+03 -1.729626195440006995e+03 1.899674449259813969e+02 1.176152635696971811e+04 -1.613534382570595093e+11 -4.534120504098585513e+01
3.209471727131874896e+00 6.064949406941818921e+01 2.614785476392770747e+01 8.313770718723225173e+01 -9.523455021699757708e+03 -5.637106158347471137e+03 -1.741029869591043280e+03 1.647735837695976784e+02 1.153817540140033088e+04 -2.102203710603707886e+11 -4.534120504098585513e+01
1.028277064587439327e+01 8.953250871500853236e+01 3.595610935384764417e+01 8.729503093679728920e+01 -9.053345648184149468e+03 -5.652917667785201957e+03 -1.749095326713122631e+03 1.876466573132445887e+02 1.118037177351726132e+04 -4.150189036704645996e+11 -4.534120504098585513e+01
5.982413215228756798e+00 6.911381658422213548e+01 1.038680422493899513e+01 9.800959696350660977e+01 -9.581070823461537657e+03 -5.697851396082102838e+03 -1.784204868925517303e+03 1.579380747873677819e+02 1.164626980028998332e+04 -2.492845500705584412e+11 -4.534120504098585513e+01
1.459987115940966973e+01 6.848150453115249547e+01 1.721119621663059718e+01 5.205529011680382467e+01 -9.728328205610889199e+03 -5.772087977783689894e+03 -1.809984680640374336e+03 1.716540215579234427e+02 1.101648464788174715e+04 -5.069545840171173096e+10 -4.534120504098585513e+01
1.274683318593699610e+01 6.648511343941686391e+01 1.682323160492136083e+01 1.370629376062281679e+01 -9.807998773591349163e+03 -5.502610436661967469e+03 -1.791343318071347539e+03 1.673026256915328815e+02 1.186754421433727293e+04 -2.018068979393542175e+11 -4.534120504098585513e+01
1.621488362635726332e+01 7.164423225174711263e+01 3.485155655134777319e+00 1.231748594479551251e+01 -9.645222528411612075e+03 -5.801263177894185901e+03 -1.755020832704431768e+03 1.790946770096501837e+02 1.163331193464878561e+04 -2.284503395925399780e+11 -4.534120504098585513e+01
7.028288740264596157e+00 7.814704254041269849e+01 1.604203383352214374e+01 8.008071184988514801e+01 -9.783579792243164775e+03 -5.855908195564835296e+03 -1.943420834130963385e+03 1.848077410975661792e+02 1.193319540294529179e+04 -3.872090966559242554e+11 -4.534120504098585513e+01
3.856739084063440792e+00 8.595825187176193083e+01 3.963207608620643896e+01 1.516800383111220718e+01 -1.027070102630616566e+04 -5.738037973495837832e+03 -1.922511048048902467e+03 1.485362061056938501e+02 1.102079101022131545e+04 -6.539588252265917969e+11 -4.534120504098585513e+01
8.295221890212172156e+00 6.985503528676912310e+01 1.051318778087444272e+01 6.329580594213764755e+01 -9.476424933691467231e+03 -5.797217462155508656e+03 -1.729343118094616102e+03 1.861398577952578535e+02 1.134628231864729787e+04 -1.581819488406085815e+11 -4.534120504098585513e+01
5.294411929321157118e+00 7.349229747223404274e+01 1.996583716249336504e+01 8.463571744647985895e+01 -9.456379952488208801e+03 -5.427000007430357982e+03 -1.880373206841784395e+03 1.432427204245298640e+02 1.171335741197012976e+04 -3.721073423264447021e+11 -4.534120504098585513e+01
1.021818308474438020e+01 8.175442916728246701e+01 3.519848106457618542e+01 2.533461342890866774e+00 -1.085951876258802622e+04 -5.670374657417526578e+03 -1.836998472495329452e+03 1.468695495662372537e+02 1.164147018793001371e+04 -7.067295994558785400e+11 -4.534120504098585513e+01
1.887163287253483546e+01 8.898395478781321799e+01 3.464954306975823073e+00 5.717979844002007894e+01 -9.819279096947115249e+03 -5.588528071917833586e+03 -1.900703549315514920e+03 1.251436708857243900e+02 1.161476265100891578e+04 -2.216808947050796509e+10 -4.534120504098585513e+01
4.524404843163148726e+00 8.514620011422648815e+01 3.898561626613645359e+01 8.119251280745497468e+01 -9.445295931695594845e+03 -5.652150849360177745e+03 -1.702800525152097862e+03 1.220778012517283599e+02 1.164453840882292570e+04 -3.319898188891459961e+11 -4.534120504098585513e+01
1.750751530532699363e+01 6.703091239492158593e+01 3.877725515072812357e+01 7.994362792962088626e-01 -9.171855030976668786e+03 -5.770752634213204146e+03 -1.944248287533454004e+03 1.743933457210906965e+02 1.173288772487674214e+04 -1.039052410665772583e+12 -4.534120504098585513e+01
2.297652235742592974e-01 8.705634083856018890e+01 2.695494686179815957e+01 4.857681836850792934e+01 -1.022082479665930623e+04 -5.612457576100495316e+03 -1.799344346251387606e+03 1.323073566900565083e+02 1.180932769325465961e+04 -4.042110180149097443e+09 -4.534120504098585513e+01
7.257138910331828008e+00 8.968868592257189221e+01 1.661226565351656248e+00 8.908574564028701559e+01 -1.001047212791382481e+04 -5.776383306933282256e+03 -1.853805121539070569e+03 1.436066319397652080e+02 1.190223912620612646e+04 -8.326579086782543945e+10 -4.534120504098585513e+01
2.708534506754165072e+00 7.664487738097342628e+01 1.354531456326561134e+01 7.770057879519428923e+01 -1.013161564123281460e+04 -5.401809344660334318e+03 -1.838838947247391616e+03 1.582710395564473629e+02 1.183738389149045361e+04 -5.868869495846157074e+09 -4.534120504098585513e+01
8.533531445164536322e+00 6.260778460303767901e+01 3.868259057335468754e+01 8.307320422919296732e+01 -1.018026407975873917e+04 -5.681594308799339160e+03 -1.785811381054491221e+03 1.281334922629887672e+02 1.179314084982314853e+04 -1.046657017956937790e+09 -4.534120504098585513e+01
1.691845241844860848e+00 8.912688084704261371e+01 1.039507438820594132e+01 3.998134444617855365e+01 -9.201808715135650345e+03 -5.694100501641059964e+03 -1.774313885019159216e+03 1.535466773368146391e+02 1.127400703250909828e+04 -2.855251450631708984e+11 -4.534120504098585513e+01
9.162698723958600411e+00 7.352710222819115415e+01 1.918394281233479148e+01 1.645243045941577265e+01 -1.076443894857645864e+04 -5.669232995275550820e+03 -1.934312890078442024e+03 1.447109113232525601e+02 1.101974818291322299e+04 -1.778337477990907959e+12 -4.534120504098585513e+01
1.071379708079767124e+00 7.673111395244748678e+01 2.670148814509256230e+00 1.279726032467242813e+00 -9.769655482585516438e+03 -5.863098616372810284e+03 -1.838734141230398336e+03 1.326267630457247151e+02 1.217432056911274594e+04 -6.231760970321579590e+11 -4.534120504098585513e+01
3.965502286426131562e+00 6.675817406926071840e+01 6.035738730631013738e+00 1.800620384017423348e+01 -9.263397355820310622e+03 -5.673014844605230792e+03 -1.864876750561237941e+03 1.463056845000487840e+02 1.145440519126268555e+04 -3.811540145184644165e+11 -4.534120504098585513e+01
2.899775949559472821e+00 8.864953714168876786e+01 3.576320996895184123e+01 7.977498924392550350e+01 -1.013272223498132371e+04 -5.570310518278420204e+03 -1.819162194549132892e+03 1.678227939107957809e+02 1.203852343775175177e+04 -8.579318654811299133e+10 -4.534120504098585513e+01
8.177858262435567127e+00 6.692630249260405151e+01 3.737285216698866819e+00 9.995258248651209954e+01 -9.631519695027343914e+03 -5.520747904793670386e+03 -1.743703905703544933e+03 1.606151083819082714e+02 1.116216968191744490e+04 -1.645712149780129433e+09 -4.534120504098585513e+01
7.028628028224381374e+00 6.690758132329898444e+01 8.706462052062517998e+00 9.254157383373646439e+01 -9.503027993294166663e+03 -5.877408242461654481e+03 -1.837788589607658878e+03 1.679419740520283426e+02 1.130930813854828375e+04 -1.016374494292551575e+11 -4.534120504098585513e+01
3.261849086667027997e-01 8.056039324481828601e+01 3.404535818837623395e+01 2.904408915181439177e+00 -9.357279516852029701e+03 -5.838592769977459284e+03 -1.811926951674613065e+03 1.557613670960512593e+02 1.156568475262885295e+04 -4.573383261684403076e+11 -4.534120504098585513e+01
1.157315908674849325e+01 6.559215630497661209e+01 1.167201188975274029e+01 2.937548153873362367e+01 -1.022085676748410515e+04 -5.599753833652279354e+03 -1.911633689252728118e+03 1.454497164352465859e+02 1.143726343031025499e+04 -1.581211591186488342e+11 -4.534120504098585513e+01
1.823414151817219109e+00 8.272153683499205101e+01 1.445259945464993834e+01 2.255732986328938239e+01 -1.060759535747588961e+04 -5.579789660592359724e+03 -1.814516489833397827e+03 1.790446240773272564e+02 1.135232917091224044e+04 -6.657047602711157227e+11 -4.534120504098585513e+01
1.898460894841089797e+01 8.563908825016712001e+01 9.613820710017614957e+00 7.248460333887186380e+01 -1.030069019108843895e+04 -5.892267352482283059e+03 -1.888127331739478905e+03 1.821243549795553918e+02 1.167127122673739905e+04 -2.418274227541171646e+10 -4.534120504098585513e+01
4.823529695303664155e+00 8.100713546681423338e+01 2.509582044809328849e+01 4.997896008531414935e+01 -9.654734300267045910e+03 -5.634951015461861971e+03 -1.826465336355074214e+03 1.849051381833176606e+02 1.214760364278939596e+04 -8.455917738290810547e+11 -4.534120504098585513e+01
1.996606834969105293e+01 6.174359354147485845e+01 2.303953101208099596e+01 4.152130226101231614e+01 -1.006515020295739851e+04 -5.695298303925885193e+03 -1.931938422326666341e+03 1.414920862356011639e+02 1.214480021037623555e+04 -1.836231894802426453e+11 -4.534120504098585513e+01
7.929153500432565949e+00 8.198768335557971909e+01 2.436394678439100403e+01 1.648436542727527154e+01 -9.458662138269717616e+03 -5.773804926932545641e+03 -1.709535611588565189e+03 1.619683077177126336e+02 1.140958946213699528e+04 -1.854402890047233582e+11 -4.534120504098585513e+01
1.646703644804330935e+01 7.878789894823093221e+01 2.880579106605837580e+01 7.672914019076121406e+01 -9.855332839448617960e+03 -5.733352793105089404e+03 -1.708120114611667759e+03 1.657933592908408400e+02 1.206610697110555338e+04 -3.971580452347217407e+11 -4.534120504098585513e+01
8.718994802361331509e+00 7.462608871304378511e+01 1.068529768168263772e+01 5.648542738503920901e+01 -1.020278805248372009e+04 -5.503238659046519388e+03 -1.795813093879457938e+03 1.517616891563143895e+02 1.105733091083416366e+04 -5.397485489537962036e+11 -4.534120504098585513e+01
7.279290632973202335e+00 6.971005111002151011e+01 2.206456186356025473e+00 7.416067091178483395e+01 -1.077064341473072272e+04 -5.729877860951308321e+03 -1.848445677374103980e+03 1.215257238100562631e+02 1.176646180707111671e+04 -4.333346761671975708e+11 -4.534120504098585513e+01
1.543243859133776219e+01 7.541683111313977861e+01 9.680076024720436934e+00 3.517816975239953337e+01 -1.087171019017754770e+04 -5.730246277168986126e+03 -1.771982673320902677e+03 1.883891843237431942e+02 1.104890363035739028e+04 -1.761791340378098389e+12 -4.534120504098585513e+01
8.866665020748708770e+00 6.238176795882507975e+01 9.110516907111760432e+00 3.836991976534447346e+00 -1.009550005359046190e+04 -5.805341374602719952e+03 -1.932750613076362697e+03 1.208884688181926776e+02 1.197936679603080484e+04 -5.663178487007662964e+10 -4.534120504098585513e+01
7.675769280111427229e+00 6.820286087683842879e+01 1.921246160763649158e+01 8.031465166754726681e+01 -1.081172742123034550e+04 -5.758582045531554286e+03 -1.735973687730373967e+03 1.630617483485008563e+02 1.207779597957178339e+04 -1.118833910572829590e+11 -4.534120504098585513e+01
4.506331059966580455e+00 8.907860956015747433e+01 1.204294352716823013e+01 3.809344793763628445e+01 -9.476606342802693689e+03 -5.803815541189639589e+03 -1.911988170307807650e+03 1.549351719740521958e+02 1.117765057921885636e+04 -3.501692737826598358e+10 -4.534120504098585513e+01
5.233494238683412014e+00 8.445682628260874480e+01 2.759118402940180204e+01 3.548804076213061709e+00 -1.083901064142613359e+04 -5.884468618475802032e+03 -1.723832158109942611e+03 1.589995368083256153e+02 1.205965800699389547e+04 -1.297527471383782654e+11 -4.534120504098585513e+01
1.810281990164713406e+01 8.590948402274153750e+01 2.584495806549599095e+00 1.483529540938364022e+01 -9.058029233740051495e+03 -5.899698830944656947e+03 -1.913910717583822816e+03 1.384883807180896440e+02 1.199605244501881316e+04 -1.852361323709777344e+12 -4.534120504098585513e+01
1.109362896918719876e+01 6.614666938991157963e+01 3.040075559968472874e+01 9.566494220563360784e+01 -9.336865440893041523e+03 -5.551760790938993523e+03 -1.735023152690251891e+03 1.846584420613656903e+02 1.144438666894363814e+04 -3.273880639501881714e+11 -4.534120504098585513e+01
5.811052306593800232e-01 7.639239525701415801e+01 1.433183870747469868e+01 8.324143868782088873e+01 -1.000655709080198540e+04 -5.813724634247809263e+03 -1.891608733525696152e+03 1.714186756474509821e+02 1.188338430037824037e+04 -1.045573380382198639e+11 -4.534120504098585513e+01
1.872831079500635809e+01 7.661838653401160570e+01 2.796054574641412316e+01 2.923214138289701935e+01 -1.038591945762749128e+04 -5.752795628968060555e+03 -1.830376150938041519e+03 1.844170631882050770e+02 1.126441214116211268e+04 -4.110036542589173584e+11 -4.534120504098585513e+01
1.018509923435851050e+01 8.447697892722734991e+01 2.266552297329631571e+01 5.591091372132236614e+01 -9.480416692669889017e+03 -5.860125939460149311e+03 -1.837307359529036830e+03 1.639734837712250055e+02 1.218397477989543768e+04 -1.299652538228455566e+12 -4.534120504098585513e+01
5.223770395920546150e+00 7.769482889183441898e+01 2.160276498564267911e+01 3.334812919176233947e+01 -9.903628403391816391e+03 -5.665954734373435713e+03 -1.934048393153329698e+03 1.853122267587210388e+02 1.111553067847068633e+04 -9.328214350554121399e+10 -4.534120504098585513e+01
4.961343995475156810e+00 6.150426897369167989e+01 3.714922671584641023e+01 1.880659758507237811e+01 -1.093875615282848230e+04 -5.817044114199597061e+03 -1.703090299541727973e+03 1.807722933598823261e+02 1.139254056182216300e+04 -1.136733351663562988e+12 -4.534120504098585513e+01
1.058406309948757063e+01 6.695750677956378638e+01 9.675533924164142263e+00 3.587927369399235999e+01 -9.886948111211504511e+03 -5.672201024308485103e+03 -1.732292094466345588e+03 1.756908830087781155e+02 1.209633315401491382e+04 -4.000177515286759033e+11 -4.534120504098585513e+01
