# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
5.196232116869804463e-01 7.824311800927580407e+01 1.843380282779743240e+01 6.689734837009041257e+00 -1.034829189719176247e+04 -5.788384032556901730e+03 -1.863558989670131041e+03 1.522496641792349408e+02 1.194675639978673462e+04 1.617078089255567761e+02 -4.534120504098585513e+01
5.178648038065531978e-01 7.820177699790775705e+01 1.862099110732922114e+01 8.386589583054830044e+00 -1.050634826576250271e+04 -5.861748640909735514e+03 -1.888018837375094563e+03 1.545332936547236784e+02 1.210253956007712623e+04 1.617136654485554175e+02 -4.534120504098585513e+01
5.399538265567280781e-01 7.814312154286750456e+01 1.867551000626285784e+01 6.370767452632735584e+00 -1.044064496936766955e+04 -5.830712836709961266e+03 -1.878380629238109123e+03 1.537891288453098468e+02 1.203759125388032953e+04 1.617596069848082152e+02 -4.534120504098585513e+01
5.139944263253246604e-01 7.827658010380146436e+01 1.850257234205263046e+01 7.540619281656788075e+00 -1.054179342772520067e+04 -5.878611222323553193e+03 -1.893023304322866579e+03 1.548810326185098631e+02 1.213763087718354473e+04 1.617717047904743026e+02 -4.534120504098585513e+01
5.675278342205982707e-01 7.823335002791668558e+01 1.869793865176887948e+01 5.835361369698210510e+00 -1.032287536162016841e+04 -5.773315903750641155e+03 -1.862870431959960797e+03 1.531592074940012367e+02 1.192047366715176031e+04 1.617762463486280069e+02 -4.534120504098585513e+01
5.631873294418162645e-01 7.825948249784707400e+01 1.879250035531235952e+01 6.837276309537801744e+00 -1.003470776492902951e+04 -5.637087671247525577e+03 -1.820848475041859274e+03 1.499813826172687357e+02 1.163548879910272626e+04 1.618328065098953914e+02 -4.534120504098585513e+01
5.341417101869028183e-01 7.834718382290746774e+01 1.838512443204401947e+01 6.758111574596384230e+00 -1.031366177793777933e+04 -5.770809988759830048e+03 -1.859625226902482609e+03 1.523345532994612768e+02 1.191205181777337748e+04 1.618891040690539285e+02 -4.534120504098585513e+01
5.293814580084585941e-01 7.824585810423475607e+01 1.845645429419245076e+01 7.462593319059585895e+00 -1.025859320197436500e+04 -5.744598493243434859e+03 -1.851794635846050369e+03 1.518010098633194787e+02 1.185751711279729534e+04 1.618965630460189971e+02 -4.534120504098585513e+01
5.448243299432992126e-01 7.819723870611650796e+01 1.867092235221995722e+01 6.738305862163501914e+00 -1.057963015970646848e+04 -5.895048539115919084e+03 -1.899853397123179093e+03 1.558454567129738280e+02 1.217452728796107476e+04 1.619194130271183383e+02 -4.534120504098585513e+01
5.167005296125791736e-01 7.832751554670194594e+01 1.845781745891927983e+01 7.741677972094163529e+00 -1.025709683048888473e+04 -5.744660369761553738e+03 -1.850814956274070937e+03 1.514799455155666124e+02 1.185633540710990746e+04 1.619274059388905869e+02 -4.534120504098585513e+01
5.542541406359063894e-01 7.819170630370057040e+01 1.863233472321570261e+01 5.991377863208446009e+00 -1.046206970436570191e+04 -5.839350854928045919e+03 -1.882851177987819483e+03 1.545968086417740892e+02 1.205822450496074271e+04 1.619437530133268694e+02 -4.534120504098585513e+01
5.345082102603395668e-01 7.827231060395622819e+01 1.837318494698525484e+01 6.196981932731665310e+00 -1.035157012131579904e+04 -5.788608618972664772e+03 -1.865339950606217599e+03 1.528076923485793372e+02 1.194948704293113042e+04 1.620008233625505056e+02 -4.534120504098585513e+01
5.568208334504860524e-01 7.823654211512102563e+01 1.862561027659357293e+01 6.591069232873634220e+00 -1.007772317161632600e+04 -5.658443333103369696e+03 -1.826192147164996413e+03 1.500602198901782742e+02 1.167841401063496050e+04 1.620381318848411922e+02 -4.534120504098585513e+01
5.579436263814718799e-01 7.829824397363880450e+01 1.876371571021932994e+01 5.972614566495825450e+00 -1.014954313292114784e+04 -5.692648924027443172e+03 -1.836369158167065734e+03 1.507500570513821287e+02 1.174954151080116389e+04 1.620551928707313607e+02 -4.534120504098585513e+01
5.180550954220135562e-01 7.821643852348124426e+01 1.834595580678596249e+01 6.243821769856161552e+00 -1.051249728658794629e+04 -5.865236023392795687e+03 -1.888240424416233736e+03 1.543674081675893319e+02 1.210884384990500621e+04 1.620915053963899481e+02 -4.534120504098585513e+01
5.525092944482279389e-01 7.818759537940952953e+01 1.882434210817848808e+01 6.456481252488575073e+00 -1.031741673815372269e+04 -5.770514242515198930e+03 -1.862322690417739068e+03 1.531915025064629390e+02 1.191498092633608576e+04 1.621290130656044539e+02 -4.534120504098585513e+01
5.361173649888263393e-01 7.812965067335218805e+01 1.850060203025784844e+01 6.868529383905489283e+00 -1.048731728898680922e+04 -5.851791905902676262e+03 -1.886127200664798693e+03 1.546897911581008316e+02 1.208336437713114537e+04 1.622064637628485002e+02 -4.534120504098585513e+01
5.578311627793369754e-01 7.817948822367418416e+01 1.862227957377924170e+01 6.264050004104101177e+00 -1.033949425288904240e+04 -5.781870938919699256e+03 -1.864597507243189284e+03 1.530683038358601493e+02 1.193717721220745807e+04 1.622137170623529414e+02 -4.534120504098585513e+01
5.545326508681297506e-01 7.825623510634487445e+01 1.883722932331758315e+01 6.474493210792296338e+00 -1.040640903433473977e+04 -5.812858624725735353e+03 -1.874941386477383730e+03 1.540531517639055892e+02 1.200311270813028386e+04 1.622143052300475290e+02 -4.534120504098585513e+01
5.216653289857013931e-01 7.831233644662955840e+01 1.866783654185130814e+01 7.611685650466903041e+00 -1.044688443062917577e+04 -5.833613064424159347e+03 -1.879182797717544190e+03 1.538672852022353652e+02 1.204374410694317521e+04 1.622348013428180877e+02 -4.534120504098585513e+01
