# A phi l a0 a1 a2 a3 a4 a5 logL logPrior
3.047178944079879659e-01 5.647701689570364891e+00 1.235470327991092354e+01 2.509528251463359084e+03 -4.030384663019215623e+03 8.180283328954441458e+03 -8.780359043338437914e+03 4.482048283751664712e+03 -9.182648386709727220e+02 -6.594038220884043121e+10 -3.959344711998390665e+01
5.873312382161653966e-01 7.550859234319966973e+00 1.390193471819697635e+01 2.513507534473526448e+03 -4.309438085418852097e+03 8.866543515117024072e+03 -8.823751352091994704e+03 4.642843934490477295e+03 -8.342509156004332453e+02 -6.361793953407456207e+10 -3.959344711998390665e+01
6.097493523018554518e-01 5.433108149154709743e+00 1.158900545807368765e+01 2.661390040165163555e+03 -4.498137924307905450e+03 8.413639848679753413e+03 -8.748789768435612132e+03 4.468212531971469616e+03 -8.264309219903782378e+02 -6.322093535378096008e+10 -3.959344711998390665e+01
5.809999386152250311e-01 7.849769121673693562e+00 1.360128563088745324e+01 2.662627838267865627e+03 -3.904012298740377446e+03 8.656325225903001410e+03 -9.119338148090218965e+03 4.643450639861908712e+03 -9.203052950428860868e+02 -6.197953192903627777e+10 -3.959344711998390665e+01
7.001673719641401394e-01 7.172870274078461783e+00 1.154238946871896587e+01 2.571162889867943250e+03 -4.118548230961880108e+03 8.844135257367855957e+03 -8.872801931415207946e+03 4.529172509546599031e+03 -8.890420350902496693e+02 -6.054645448800077820e+10 -3.959344711998390665e+01
2.358334405508103193e-01 6.274672394225079941e+00 1.332096899140579538e+01 2.503122060303503076e+03 -3.949669002372176237e+03 8.776274233023950728e+03 -9.284063574295139915e+03 4.241998622220959078e+03 -8.272039676449928720e+02 -5.765133907415679932e+10 -3.959344711998390665e+01
6.251627297319382048e-01 5.631832879367791200e+00 1.336509622655627716e+01 2.572815613645167559e+03 -4.303633989836787805e+03 8.433387868071069533e+03 -8.517959689170693309e+03 4.701063464680176367e+03 -8.807455596875286119e+02 -5.358611330423920441e+10 -3.959344711998390665e+01
8.066153510992295494e-01 4.747531515708756977e+00 1.390368692403845330e+01 2.610461512198340642e+03 -3.913075485927222417e+03 8.878878656320655864e+03 -9.093827067496396921e+03 4.362668042630954915e+03 -8.767416862284613899e+02 -4.990832153845848846e+10 -3.959344711998390665e+01
4.941245607542799068e-01 5.802013017919200877e+00 1.252615358273629553e+01 2.594729913370405484e+03 -4.262176434659734696e+03 8.485037328909927965e+03 -8.757018345384269196e+03 4.799579751997051062e+03 -8.696295379697256749e+02 -4.832190896803182220e+10 -3.959344711998390665e+01
3.896529535204096839e-01 6.647110560803492163e+00 1.156683241689394315e+01 2.634819744105798691e+03 -4.307223011119594048e+03 9.007827642144457059e+03 -8.644248095829310842e+03 4.225978901805264286e+03 -8.906730914862355348e+02 -4.753855599148797607e+10 -3.959344711998390665e+01
7.001497925397588418e-01 7.302910859209687189e+00 1.181960898800367765e+01 2.508086430314952395e+03 -4.237260915761796241e+03 9.184360328882874455e+03 -8.830211869259102968e+03 4.337587817831898064e+03 -9.192691799878895154e+02 -4.690430812923513031e+10 -3.959344711998390665e+01
3.527843861798178882e-01 6.467134452762811847e+00 1.192944947245932141e+01 2.602850679036942438e+03 -4.266268850846834539e+03 8.396552228221526093e+03 -9.002218796253499022e+03 4.744716998307972972e+03 -9.771111381494006309e+02 -4.644098096637194061e+10 -3.959344711998390665e+01
2.453726127487630693e-01 7.221103090645685008e+00 1.290924658444166440e+01 2.637980772629123749e+03 -4.382641868528250598e+03 8.126540807824944750e+03 -8.666881706189285978e+03 4.765424330702248881e+03 -9.189589461738536329e+02 -4.552083790390737915e+10 -3.959344711998390665e+01
1.139507182590667050e-01 4.804682154725315790e+00 1.282066182712335767e+01 2.525899534062390103e+03 -3.937639069196887249e+03 8.645596277028607801e+03 -8.824586205118077487e+03 4.451737906921086505e+03 -8.505482937328788466e+02 -4.288392143499621582e+10 -3.959344711998390665e+01
2.313132635561253592e-01 6.257515884464149636e+00 1.289370003776759965e+01 2.595832804717977524e+03 -3.949447140837922234e+03 8.675437453976042889e+03 -8.822220984070399936e+03 4.415899867211177479e+03 -9.474956479343313731e+02 -3.861610158336363220e+10 -3.959344711998390665e+01
2.154203112260897057e-01 6.297615436208005235e+00 1.330719348920073664e+01 2.686053189331395970e+03 -4.427916875017098391e+03 8.780294649091098108e+03 -8.827339981982475365e+03 4.656272273238091657e+03 -8.923061346603229822e+02 -3.365656990700397873e+10 -3.959344711998390665e+01
4.548419369428637338e-01 7.258400051199525471e+00 1.275255682956660230e+01 2.505660673510474680e+03 -4.141052243810760956e+03 8.379043109147358336e+03 -8.911070654765577274e+03 4.877533107873679910e+03 -8.413998572726352450e+02 -3.103520971698986816e+10 -3.959344711998390665e+01
2.327294627468581845e-02 5.800425435700400811e+00 1.172469415806429360e+01 2.698246721737988537e+03 -4.430495588439206585e+03 8.120075675953603422e+03 -8.657894495529466440e+03 4.760914373304649416e+03 -8.285825443766169656e+02 -3.027162879467201614e+10 -3.959344711998390665e+01
1.328957151049212915e-01 5.676232597729385709e+00 1.340000281526645054e+01 2.666105015879996699e+03 -4.087271334577329526e+03 8.690162171007104916e+03 -9.077193529601890987e+03 4.663866758640999251e+03 -9.084354918293810215e+02 -2.963029442008024979e+10 -3.959344711998390665e+01
7.729450460279737624e-03 7.271165657300275420e+00 1.282080966390196686e+01 2.550726350034838106e+03 -4.234329205670350348e+03 8.571601184785447913e+03 -9.261800646253968807e+03 4.792257771808644975e+03 -8.242503791070733996e+02 -2.721723027075026703e+10 -3.959344711998390665e+01
9.815027486039320515e-01 7.656097786634992630e+00 1.114073743024612995e+01 2.572891334435840690e+03 -4.246759396057402228e+03 8.888811156629955804e+03 -8.967416451203413089e+03 4.576683857254796749e+03 -8.654679713215700758e+02 -2.651552633776196289e+10 -3.959344711998390665e+01
6.356339228269044517e-01 6.638518165181867658e+00 1.152014640541714563e+01 2.566986821270976179e+03 -4.010505437326351966e+03 8.288197686438332312e+03 -8.742551282835629536e+03 4.290967201110445785e+03 -8.428179217083378489e+02 -2.508111893829935074e+10 -3.959344711998390665e+01
9.912195715584181110e-01 5.170904074628090541e+00 1.115149290256149506e+01 2.503629813514865418e+03 -4.009833580979244744e+03 8.287016779747491455e+03 -8.971171601616601038e+03 4.661322822904147870e+03 -8.932359593400670974e+02 -2.416542033673196030e+10 -3.959344711998390665e+01
7.295450882329352904e-01 6.197359286258645739e+00 1.101567925511476176e+01 2.576316490992448962e+03 -4.440677309196155875e+03 8.799813725996373250e+03 -9.068649841370281138e+03 4.618686110068508242e+03 -8.743404286342082514e+02 -2.275708630630413055e+10 -3.959344711998390665e+01
5.438172580787951071e-01 6.964750462507947937e+00 1.347772699011973963e+01 2.537716565731324408e+03 -4.359443356403417965e+03 8.487950863293746806e+03 -8.686735909265982627e+03 4.640117637023838142e+03 -9.730668495069703567e+02 -2.220407964621131516e+10 -3.959344711998390665e+01
9.658355434556643582e-01 5.809895620652052450e+00 1.293967221137623369e+01 2.697348291328491996e+03 -4.181109240443923227e+03 8.563597071755930301e+03 -9.060012619549041119e+03 4.707284783811748639e+03 -8.180025568224206154e+02 -2.098013558000621796e+10 -3.959344711998390665e+01
4.006594957471024676e-01 6.337741962369462634e+00 1.198134316033187474e+01 2.658284287110431251e+03 -4.026534938783500365e+03 8.539238052267488456e+03 -9.022324764387782125e+03 4.654933861911549684e+03 -8.919200665053391504e+02 -2.091188307178126526e+10 -3.959344711998390665e+01
2.435361169315377605e-01 7.803158125493416364e+00 1.268822936786723332e+01 2.552725913424897499e+03 -4.156600126939049005e+03 9.113249294734823707e+03 -8.915988572267679046e+03 4.241260237380711260e+03 -9.341929872477905974e+02 -2.038548773434721375e+10 -3.959344711998390665e+01
5.048295534302107423e-01 5.481685482684469868e+00 1.395779099041213911e+01 2.640033483922837604e+03 -4.191362534674154631e+03 8.891520990676688598e+03 -8.902660895996332329e+03 4.457041197719030606e+03 -9.927590989742814145e+02 -1.980879283068017197e+10 -3.959344711998390665e+01
1.843225657569697584e-01 6.373076073727632185e+00 1.134440212828279293e+01 2.605227277177707947e+03 -4.497660743180614190e+03 8.675340079993686231e+03 -8.966026765076916490e+03 4.801081470411029841e+03 -9.415947459060048459e+02 -1.975822362679645157e+10 -3.959344711998390665e+01
1.709008302677849089e-01 6.444578789329800550e+00 1.379756289129012004e+01 2.655125725625035102e+03 -4.496796913222093281e+03 8.652854805335622586e+03 -8.915147030346910469e+03 4.871884170788130177e+03 -9.234769356552039881e+02 -1.939109317114614487e+10 -3.959344711998390665e+01
